YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2013,2013,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,29.1,29.1,,27.8,30.5,Overall,Overall,POINT (-79.15925046299964 35.466220975000454),37,AGEADJPREV,OVERALL,OVR
2014,2014,NC,North Carolina,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,63.9,63.9,,62.5,65.3,Overall,Overall,POINT (-79.15925046299964 35.466220975000454),37,AGEADJPREV,OVERALL,OVR
2017,2017,MT,Montana,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,18.3,18.3,,16.8,20,Overall,Overall,POINT (-109.42442064499971 47.06652897200047),30,AGEADJPREV,OVERALL,OVR
2020,2020,MT,Montana,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,67.5,67.5,,65.7,69.2,Overall,Overall,POINT (-109.42442064499971 47.06652897200047),30,AGEADJPREV,OVERALL,OVR
2016,2016,TN,Tennessee,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,59.1,59.1,,57.2,61.1,Overall,Overall,POINT (-85.77449091399967 35.68094058000048),47,AGEADJPREV,OVERALL,OVR
2016,2016,NC,North Carolina,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,18.4,18.4,,17.2,19.7,Overall,Overall,POINT (-79.15925046299964 35.466220975000454),37,AGEADJPREV,OVERALL,OVR
2020,2020,US,United States,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,65.2,65.2,50 States + DC: US Median,63.9,66.2,Overall,Overall,,59,AGEADJPREV,OVERALL,OVR
2011,2011,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,29.0,29,,27.6,30.5,Overall,Overall,POINT (-79.15925046299964 35.466220975000454),37,AGEADJPREV,OVERALL,OVR
2020,2020,NH,New Hampshire,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,11.4,11.4,,9.6,13.4,Overall,Overall,POINT (-71.50036091999965 43.65595011300047),33,AGEADJPREV,OVERALL,OVR
2014,2014,NH,New Hampshire,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,68.5,68.5,,66.5,70.3,Overall,Overall,POINT (-71.50036091999965 43.65595011300047),33,AGEADJPREV,OVERALL,OVR
2018,2018,MT,Montana,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,14.3,14.3,,12.2,16.7,Overall,Overall,POINT (-109.42442064499971 47.06652897200047),30,AGEADJPREV,OVERALL,OVR
2015,2015,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,30.0,30,,28.5,31.6,Overall,Overall,POINT (-79.15925046299964 35.466220975000454),37,AGEADJPREV,OVERALL,OVR
2020,2020,AK,Alaska,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,62.6,62.6,,60,65.1,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2016,2016,AK,Alaska,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,64.7,64.7,,61.5,67.7,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2021,2021,AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,40.6,40.6,,38.6,42.7,Overall,Overall,POINT (-86.63186076199969 32.84057112200048),01,AGEADJPREV,OVERALL,OVR
2016,2016,AK,Alaska,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,65.6,65.6,,62.7,68.4,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,29.8,29.8,,27.9,31.7,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2018,2018,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,18.7,18.7,,16.7,20.9,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2012,2012,AK,Alaska,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,64.3,64.3,,62.2,66.4,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2012,2012,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,20.0,20,,18.4,21.8,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2018,2018,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,29.4,29.4,,26.9,32,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2012,2012,AK,Alaska,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,16.1,16.1,,12.8,20.1,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2013,2013,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,Median,1.0,1,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),0.6,2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2016,2016,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,32.2,32.2,,29.3,35.2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2020,2020,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,31.8,31.8,,29.4,34.4,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2021,2021,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.7,1.7,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),1.1,2.4,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2012,2012,AK,Alaska,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,67.3,67.3,,65.3,69.2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2016,2016,AK,Alaska,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,14.1,14.1,,10.8,18.3,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2016,2016,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,18.7,18.7,,16.6,21.1,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2018,2018,AK,Alaska,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,17.5,17.5,,13.7,22.2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2018,2018,AK,Alaska,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,66.6,66.6,,63.7,69.3,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2015,2015,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,Median,1.0,1,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),0.6,2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2012,2012,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,25.7,25.7,,24,27.5,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2011,2011,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,27.6,27.6,,25.4,29.8,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,19.5,19.5,,17.9,21.3,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2019,2019,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,17.6,17.6,,15.4,20,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2021,2021,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,17.2,17.2,,15.6,18.9,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,62,62,,59.8,64.2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2011,2011,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,22.1,22.1,,20.2,24.1,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2013,2013,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,22.1,22.1,,20.3,23.9,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2021,2021,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,33.4,33.4,,31.5,35.5,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2017,2017,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,20.9,20.9,,18.3,23.7,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2021,2021,AL,Alabama,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,17.9,17.9,,16.2,19.6,Overall,Overall,POINT (-86.63186076199969 32.84057112200048),01,AGEADJPREV,OVERALL,OVR
2015,2015,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,18.4,18.4,,16.5,20.5,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2011,2011,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,Median,1.1,1.1,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),0.6,2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2019,2019,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,Median,1.0,1,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),0.4,2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2021,2021,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,Median,1.0,1,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),0.5,1.9,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2013,2013,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.5,1.5,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),1,2.3,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2019,2019,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.7,1.7,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),1.1,2.3,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2017,2017,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.7,1.7,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),1.2,2.5,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2012,2012,AK,Alaska,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,62.1,62.1,,59.9,64.2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,62.7,62.7,,60.6,64.8,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2017,2017,AK,Alaska,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,,,No data available,,,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,15.5,15.5,,12,19.7,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2016,2016,AK,Alaska,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,66.4,66.4,,63.5,69.1,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2018,2018,AK,Alaska,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,65.0,65,,62.3,67.6,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2020,2020,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,18.0,18,,16.1,20,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2015,2015,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.5,1.5,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),1,2.3,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2021,2021,AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,Median,1.0,1,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),0.4,1.4,Overall,Overall,POINT (-86.63186076199969 32.84057112200048),01,MEDIAN,OVERALL,OVR
2013,2013,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,28.7,28.7,,26.8,30.6,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2019,2019,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,30.7,30.7,,28,33.6,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2014,2014,AK,Alaska,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,63.9,63.9,,61.8,65.9,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2017,2017,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,34.7,34.7,,31.9,37.7,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2020,2020,AK,Alaska,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,67.3,67.3,,64.6,69.8,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2020,2020,AK,Alaska,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,65.1,65.1,,62.6,67.6,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2015,2015,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,30.3,30.3,,27.9,32.7,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2020,2020,AK,Alaska,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,13.0,13,,10.4,16.2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2018,2018,AK,Alaska,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,%,Age-adjusted Prevalence,69.4,69.4,,66.8,71.9,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2017,2017,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,Median,1.0,1,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),0.6,2,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2021,2021,AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.6,1.6,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),1.1,2.2,Overall,Overall,POINT (-86.63186076199969 32.84057112200048),01,MEDIAN,OVERALL,OVR
2020,2020,CA,California,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,67.0,67,,65.1,68.9,Overall,Overall,POINT (-120.99999953799971 37.63864012300047),06,AGEADJPREV,OVERALL,OVR
2011,2011,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,Median,1.4,1.4,Median frequency (50th percentile) reported with quartiles (25th & 75th percentiles),0.9,2.3,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,MEDIAN,OVERALL,OVR
2013,2013,AK,Alaska,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,Age-adjusted Prevalence,63.7,63.7,,61.6,65.7,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),02,AGEADJPREV,OVERALL,OVR
2016,2016,AL,Alabama,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,19.1,19.1,,17,21.4,Overall,Overall,POINT (-86.63186076199969 32.84057112200048),01,AGEADJPREV,OVERALL,OVR
2012,2012,AL,Alabama,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,%,Age-adjusted Prevalence,23.8,23.8,,21.8,26,Overall,Overall,POINT (-86.63186076199969 32.84057112200048),01,AGEADJPREV,OVERALL,OVR
2015,2015,AL,Alabama,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,22.1,22.1,,20.7,23.6,Overall,Overall,POINT (-86.63186076199969 32.84057112200048),01,AGEADJPREV,OVERALL,OVR
2013,2013,AL,Alabama,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,22.1,22.1,,20.5,23.9,Overall,Overall,POINT (-86.63186076199969 32.84057112200048),01,AGEADJPREV,OVERALL,OVR
